Rank	               Card Name	 PWR	 ADP	APR	Deals	Drafted	Plays	WinHand	WinPlay	WtdPWR	Elo/Play
1	                   Lover	2.27	1.88	9.08	176	176	146	32	28	2.49	5.05
2	              Wheel Plow	2.25	1.87	8.90	241	241	220	38	38	2.46	2.61
3	           Clay Supports	2.07	1.43	5.83	262	261	239	41	38	2.19	1.96
4	            Task Artisan	2.04	2.54	3.58	168	166	139	26	24	2.35	2.92
5	          Hardware Store	2.03	1.50	4.80	246	246	214	36	35	2.28	1.98
6	               Furnisher	2.02	1.69	3.12	191	191	166	31	27	2.12	0.76
7	         Forest Reviewer	2.00	1.68	1.68	236	236	218	37	33	2.42	2.63
8	      Carpenter's Parlor	1.99	1.18	4.31	259	259	237	36	36	2.34	2.59
9	          Basket Carrier	1.94	2.34	4.84	155	151	116	21	21	2.09	2.58
10	               Informant	1.93	1.61	2.21	178	178	155	25	24	2.25	1.79
11	              Cultivator	1.90	1.79	5.52	225	225	204	31	30	2.46	3.31
12	          Teacher's Desk	1.88	1.37	3.88	205	205	194	29	27	2.30	0.73
13	                  Grocer	1.85	1.81	9.03	208	208	172	31	27	1.98	1.97
14	            Forest Stone	1.85	3.59	6.65	216	199	178	32	28	2.15	2.22
15	              Swing Plow	1.82	1.51	9.15	228	227	209	30	29	2.24	0.58
16	              Cow Prince	1.80	2.58	13.41	159	153	95	24	20	1.90	5.63
17	              Wood Field	1.76	4.06	8.63	252	235	191	33	31	1.87	0.87
18	                 Cesspit	1.71	2.01	3.87	209	201	161	30	25	2.13	2.45
19	               Bookshelf	1.68	2.00	8.04	221	221	185	27	26	1.93	1.86
20	                  Porter	1.68	2.97	3.95	212	200	142	30	25	1.70	3.35
21	        Assistant Tiller	1.65	1.28	4.64	260	260	247	31	30	2.14	0.69
22	         Charcoal Burner	1.65	2.65	2.81	243	242	194	30	28	2.11	3.07
23	               Reap Hook	1.64	2.37	5.51	244	241	228	29	28	2.21	1.71
