Rank	               Card Name	 PWR	 ADP	APR	Deals	Drafted	Plays	WinHand	WinPlay	WtdPWR	Elo/Play
1	         Forest Reviewer	8.15	1.66	1.70	198	197	190	116	113	6.06	4.39
2	         Education Bonus	8.05	2.73	7.33	245	245	227	148	138	5.89	4.09
3	                   Lover	7.99	1.60	8.07	254	254	241	148	142	5.95	3.88
4	          Teacher's Desk	7.95	1.30	3.34	284	284	281	160	158	6.01	3.55
5	               Childless	7.92	1.39	3.12	240	239	229	137	133	6.10	5.07
6	                  Pavior	7.78	1.91	2.59	235	234	225	130	128	6.02	4.23
7	          Basket Carrier	7.74	1.99	4.23	253	252	234	145	137	5.86	4.13
8	               Informant	7.67	1.42	2.19	231	231	229	124	124	5.90	2.98
9	          Hardware Store	7.56	1.48	4.00	257	257	232	147	136	5.47	3.12
10	               Furnisher	7.55	1.51	3.30	246	246	241	133	130	5.97	3.26
11	            Brewery Pond	7.51	1.62	3.91	253	253	232	145	133	5.69	3.64
12	            Field Fences	7.34	2.01	12.00	253	253	230	138	130	5.59	3.25
13	             Rammed Clay	7.32	1.59	6.55	205	205	198	108	105	5.70	2.62
14	                Bonehead	7.32	2.29	3.46	240	237	227	128	123	5.71	3.18
15	          Field Watchman	7.28	1.21	3.69	214	214	209	111	109	5.97	4.45
16	              Swing Plow	7.27	1.39	8.88	228	228	221	118	116	5.73	2.99
17	      Carpenter's Parlor	7.14	1.14	4.04	218	218	213	111	109	5.54	1.64
18	     Wooden Hut Extender	7.14	1.52	4.83	214	214	201	112	107	5.43	1.46
19	  Recreational Carpenter	7.06	1.98	4.36	249	248	225	133	123	5.35	3.34
20	              Cow Prince	7.04	1.97	13.36	280	280	233	150	138	5.36	4.60
21	                  Grocer	7.03	1.70	8.16	250	250	244	123	123	5.62	2.35
22	             Full Farmer	7.02	2.71	10.26	285	285	248	152	140	5.37	3.65
23	                    Loom	6.98	2.12	9.47	268	267	239	140	131	5.30	3.27
24	                 Cesspit	6.97	1.65	3.33	254	253	236	133	124	5.53	2.60
25	        Assistant Tiller	6.89	1.34	5.17	195	195	189	95	94	5.51	2.24
26	               Collector	6.83	2.23	6.02	278	272	233	151	133	5.21	3.42
27	            Feed Pellets	6.83	4.17	7.94	255	247	225	132	122	5.42	3.79
28	           Harvest House	6.80	2.29	9.01	267	265	246	138	127	5.44	2.68
29	            Mini Pasture	6.80	3.04	8.26	227	226	206	120	108	5.32	2.66
