Rank	               Card Name	 PWR	 ADP	APR	Deals	Drafted	Plays	WinHand	WinPlay	WtdPWR	Elo/Play
1	         Begging Student	5.38	1.23	2.93	85	84	82	32	32	4.64	4.15
2	           Trade Teacher	5.14	1.59	4.64	89	87	80	32	32	3.79	0.89
3	        Work Certificate	5.01	1.67	7.05	97	96	85	36	34	4.37	6.40
4	               Childless	4.87	1.54	3.18	1155	1141	1040	409	394	4.29	4.70
5	                   Lover	4.83	1.70	8.72	1139	1135	1018	412	385	4.30	4.82
6	          Teacher's Desk	4.81	1.37	3.60	1284	1282	1235	445	432	4.22	2.57
7	                Braggart	4.76	1.13	13.25	99	99	83	35	33	4.05	5.70
8	             Big Country	4.67	1.77	7.85	104	102	81	39	34	4.04	7.34
9	          Hardware Store	4.51	1.45	4.21	1258	1255	1106	424	397	3.83	2.93
10	          Basket Carrier	4.44	2.17	4.55	1133	1123	969	381	352	3.93	3.09
11	               Informant	4.40	1.49	2.21	1107	1104	1025	353	341	4.01	2.49
12	               Furnisher	4.32	1.62	3.15	1164	1162	1092	365	352	3.98	2.13
13	                  Pavior	4.31	1.93	2.58	1179	1174	1075	380	356	3.95	3.36
14	              Cow Prince	4.30	2.25	13.41	1113	1104	821	384	335	3.66	4.19
15	                 Caravan	4.26	1.12	6.13	94	93	90	28	28	3.89	2.81
16	         Forest Reviewer	4.20	1.66	1.68	1149	1145	1076	360	338	3.84	2.65
17	                 Cesspit	4.19	1.86	3.60	1264	1243	1091	408	371	3.85	3.37
18	      Skillful Renovator	4.18	2.92	7.70	1216	1190	960	411	356	3.65	2.57
19	            Brewery Pond	4.17	1.70	4.56	1208	1198	1095	383	353	3.87	2.72
20	                  Grocer	4.12	1.79	8.39	1182	1182	1092	355	341	3.86	2.18
21	             Full Farmer	4.11	3.06	10.52	1172	1142	872	380	337	3.57	3.28
22	        Assistant Tiller	4.10	1.31	4.88	1196	1196	1130	355	343	3.84	2.39
23	                    Loom	4.06	2.26	9.10	1245	1234	1066	388	354	3.71	2.61
24	            Task Artisan	4.06	2.36	3.47	1160	1151	987	363	330	3.69	2.53
25	  Recreational Carpenter	4.05	2.00	4.39	1196	1185	988	383	339	3.52	2.66
26	              Swing Plow	4.00	1.45	9.11	1231	1229	1149	356	345	3.79	1.91
27	          Field Watchman	3.96	1.17	3.81	1234	1233	1216	345	342	3.89	2.30
28	               Pet Lover	3.94	2.07	4.04	1161	1160	1065	349	320	3.67	2.36
29	            Field Fences	3.93	2.01	12.13	1217	1215	1076	364	335	3.67	1.95
30	              Wheel Plow	3.92	1.81	9.12	1278	1273	1187	374	351	3.70	2.22
31	               Bookshelf	3.91	1.87	8.00	1267	1266	1120	375	347	3.65	1.71
32	           Harvest House	3.89	2.40	9.15	1239	1224	1048	366	337	3.64	2.26
33	    Family Friendly Home	3.88	2.20	5.75	1281	1269	1035	407	348	3.48	2.45
34	         Education Bonus	3.84	2.89	7.27	1260	1241	1075	380	339	3.41	1.00
35	                   Mason	3.83	2.16	12.44	1176	1168	895	353	315	3.39	2.74
36	      Carpenter's Parlor	3.82	1.14	4.15	1258	1257	1192	343	336	3.60	1.18
37	              Cultivator	3.82	1.74	5.39	1145	1144	1031	325	306	3.75	2.80
38	                Bookcase	3.79	1.37	4.37	1251	1251	1201	341	332	3.61	0.89
