Rank	               Card Name	 PWR	 ADP	APR	Deals	Drafted	Plays	WinHand	WinPlay	WtdPWR	Elo/Play
1	         Begging Student	5.34	1.34	3.04	431	430	409	167	161	4.52	5.77
2	            Brewery Pond	5.28	1.56	4.55	677	675	620	264	250	4.41	5.17
3	          Hardware Store	4.90	1.30	4.08	653	652	595	234	224	4.25	4.91
4	               Informant	4.77	1.80	2.24	617	614	564	215	206	4.07	2.87
5	               Furnisher	4.65	1.79	3.28	630	628	592	212	205	4.08	2.80
6	     Wooden Hut Extender	4.61	1.54	4.69	635	635	609	209	205	4.13	3.02
7	                Braggart	4.56	1.07	13.50	461	461	430	152	147	4.06	3.66
8	              Cow Prince	4.52	2.34	13.39	639	633	493	226	202	3.78	3.84
9	      Carpenter's Parlor	4.44	1.13	4.08	657	657	639	205	204	4.04	3.18
10	            House Artist	4.39	1.61	3.46	570	567	514	191	175	4.05	4.06
11	      Skillful Renovator	4.38	3.16	8.27	617	582	519	203	189	3.86	2.76
12	            Wood Carrier	4.37	2.92	11.94	602	599	515	197	184	3.86	2.29
13	          Teacher's Desk	4.33	1.71	3.87	706	702	660	222	214	4.02	3.36
14	         Forest Reviewer	4.32	1.66	1.67	631	627	593	199	191	3.92	2.21
15	           Trade Teacher	4.27	1.77	5.07	432	429	414	132	129	3.94	1.44
16	           Clay Supports	4.25	1.51	5.78	648	642	583	204	193	3.78	2.48
17	             Foreign Aid	4.21	3.32	4.61	661	597	532	210	195	3.60	1.80
18	  Recreational Carpenter	4.18	1.95	4.32	594	590	516	187	174	3.80	3.51
19	             Full Farmer	4.16	3.42	10.99	608	587	474	202	177	3.73	3.47
20	                 Caravan	4.12	1.10	4.66	478	478	461	142	138	3.95	3.36
21	            Field Fences	4.12	2.38	12.50	628	626	540	205	181	3.74	2.47
22	           Harvest House	4.12	2.95	10.04	659	643	530	220	190	3.59	2.27
23	               Bookshelf	4.04	2.42	8.34	664	663	581	202	188	3.72	3.51
24	       Wood Slide Hammer	4.03	1.89	10.34	663	656	550	207	187	3.56	2.10
25	          Basket Carrier	4.03	3.06	5.51	599	574	465	194	169	3.49	3.39
26	              Swing Plow	4.00	1.93	9.47	650	646	592	192	182	3.77	2.95
27	                  Grocer	3.98	2.15	8.98	618	617	563	177	172	3.66	1.87
28	        Assistant Tiller	3.94	1.36	5.77	594	594	562	175	164	3.82	2.96
29	            Task Artisan	3.92	2.94	3.84	631	619	522	196	173	3.59	2.64
30	               Pet Lover	3.90	1.67	4.46	600	600	575	169	164	3.80	2.53
31	                   Mason	3.88	2.68	11.88	655	645	550	194	178	3.61	2.53
32	           Wood Barterer	3.87	1.57	3.83	624	623	575	181	169	3.50	0.86
33	                Bookcase	3.85	1.64	4.97	664	663	615	188	179	3.61	1.56
34	              Hand Truck	3.85	1.84	6.10	653	648	548	204	176	3.46	1.93
35	          Field Watchman	3.83	1.18	4.26	638	638	631	173	171	3.78	1.79
36	              Wheel Plow	3.81	2.12	9.42	678	675	619	194	181	3.64	1.65
37	               Wood Cart	3.78	1.65	7.27	680	680	612	198	180	3.54	1.82
38	           Chimney Sweep	3.76	3.55	12.11	654	651	531	199	172	3.48	3.05
39	       Lord of the Manor	3.75	3.09	13.40	575	561	365	180	151	3.20	4.90
40	              Baseboards	3.75	3.66	10.99	675	641	530	202	177	3.40	2.40
41	            Mini Pasture	3.74	3.20	8.86	657	651	583	188	172	3.57	1.73
42	           Milking Stool	3.73	2.73	10.52	681	671	549	198	178	3.53	2.48
43	          Master Builder	3.71	4.31	13.21	650	569	393	192	169	3.00	4.83
44	             Rammed Clay	3.70	1.55	6.21	684	684	662	182	177	3.72	1.11
45	         Education Bonus	3.69	3.14	7.36	619	596	529	170	160	3.42	1.34
46	           Lettuce Patch	3.68	3.57	10.38	653	640	554	183	168	3.38	2.36
47	                Loam Pit	3.64	1.94	8.37	679	673	589	188	173	3.40	1.82
48	            Writing Desk	3.57	3.49	8.16	689	652	529	194	172	3.16	1.36
49	        Work Certificate	3.56	1.92	7.45	453	452	378	127	113	3.38	2.14
50	               Reap Hook	3.56	2.95	6.49	650	632	572	179	162	3.40	0.98
51	              Wholesaler	3.53	3.20	10.34	616	598	517	167	152	3.44	1.07
52	                 Collier	3.52	1.89	2.19	658	651	584	173	162	3.35	0.45
53	                 Trellis	3.52	2.93	9.17	685	665	602	182	169	3.28	0.47
54	     Half-Timbered House	3.50	2.75	13.46	702	687	417	224	172	2.93	3.98
55	           Carrot Museum	3.49	2.51	7.11	655	620	477	184	160	3.19	1.84
56	               Excavator	3.48	1.54	2.44	660	656	563	179	161	3.39	2.27
57	                     Hod	3.47	3.10	7.76	642	623	537	174	156	3.32	1.31
58	                Bonehead	3.46	3.00	4.00	627	617	556	162	152	3.28	0.74
59	            Christianity	3.44	4.11	10.12	648	601	474	190	156	3.13	2.14
60	          Animal Catcher	3.43	2.89	10.60	596	589	468	164	143	3.21	1.79
61	         Agrarian Fences	3.39	4.09	8.11	682	634	535	184	162	3.04	1.14
62	                   Lover	3.35	3.26	9.74	622	598	480	167	146	3.16	2.10
63	                    Loom	3.34	2.97	9.69	620	607	487	171	145	3.19	2.47
64	            Hedge Keeper	3.31	2.87	8.96	644	634	544	167	149	3.16	1.08
65	              Cultivator	3.30	2.49	6.44	624	620	539	156	144	3.19	0.81
66	                 Cesspit	3.30	2.86	4.62	636	537	431	168	147	3.01	3.00
67	            Throwing Axe	3.29	3.12	8.46	703	682	570	189	162	3.07	-0.54
68	          Cross-Cut Wood	3.28	3.05	11.58	457	445	351	124	105	3.11	0.55
69	               Stockyard	3.18	3.37	7.89	646	620	504	170	144	3.00	0.31
70	            Animal Reeve	3.16	3.72	7.68	665	625	443	183	147	3.01	3.08
71	                  Pavior	3.15	2.47	3.12	612	592	529	149	135	3.20	1.48
72	            Treegardener	3.15	2.89	5.96	621	606	499	154	137	3.06	0.48
73	               Confidant	3.15	3.76	10.83	658	619	449	180	145	2.83	1.53
74	            Value Assets	3.14	4.13	5.78	682	623	543	171	150	3.08	0.82
75	           House Steward	3.13	4.02	5.40	639	567	411	173	140	2.74	2.01
76	               Harpooner	3.12	1.60	3.52	664	664	626	152	145	3.33	0.36
77	          Turnwrest Plow	3.12	2.33	9.81	669	659	591	157	146	3.13	0.20
